domain	property	range	count	domain;label	property;label	range;label
Q105543609	P86	Q5	5173.0	'musical work/composition'@en	'composer'@en	'human'@en
Q105543609	P86	Q205178	223.0	'musical work/composition'@en	'composer'@en	'child prodigy'@en
Q105543609	P86	Q1062083	152.0	'musical work/composition'@en	'composer'@en	'billionaire'@en
Q105543609	P86	Q59755569	35.0	'musical work/composition'@en	'composer'@en	'special purpose artist'@en
Q58483083	P86	Q5	31.0	'dramatico-musical work'@en	'composer'@en	'human'@en
Q23691	P86	Q5	19.0	'national anthem'@en	'composer'@en	'human'@en
Q105543609	P86	Q54982412	16.0	'musical work/composition'@en	'composer'@en	'songwriting team'@en
Q134556	P86	Q5	16.0	'single'@en	'composer'@en	'human'@en
Q15079786	P86	Q5	16.0	'ballet'@en	'composer'@en	'human'@en
Q105543609	P86	Q215627	14.0	'musical work/composition'@en	'composer'@en	'person'@en
Q105543609	P86	Q9212979	14.0	'musical work/composition'@en	'composer'@en	'musical duo'@en
Q7725310	P86	Q5	12.0	'series of creative works'@en	'composer'@en	'human'@en
Q836950	P86	Q5	12.0	'derivative work'@en	'composer'@en	'human'@en
Q58483083	P86	Q205178	11.0	'dramatico-musical work'@en	'composer'@en	'child prodigy'@en
Q17489659	P86	Q5	10.0	'group of works'@en	'composer'@en	'human'@en
Q105543609	P86	Q10648343	9.0	'musical work/composition'@en	'composer'@en	'duo'@en
Q105543609	P86	Q215380	8.0	'musical work/composition'@en	'composer'@en	'musical group'@en
Q7302866	P86	Q5	8.0	'audio track'@en	'composer'@en	'human'@en
Q105543609	P86	Q84310035	7.0	'musical work/composition'@en	'composer'@en	'record production team'@en
Q17537576	P86	Q5	6.0	'creative work'@en	'composer'@en	'human'@en
Q7725634	P86	Q5	5.0	'literary work'@en	'composer'@en	'human'@en
Q856713	P86	Q5	5.0	'Christian hymn'@en	'composer'@en	'human'@en
Q1123037	P86	Q5	4.0	'nursery rhyme'@en	'composer'@en	'human'@en
Q1193470	P86	Q5	4.0	'theme music'@en	'composer'@en	'human'@en
Q1352567	P86	Q5	4.0	'missa brevis'@en	'composer'@en	'human'@en
Q2031291	P86	Q5	4.0	'release'@en	'composer'@en	'human'@en
Q7366	P86	Q5	4.0	'song'@en	'composer'@en	'human'@en
Q91192165	P86	Q5	4.0	'lyrical adaptation'@en	'composer'@en	'human'@en
Q105543609	P86	Q159979	3.0	'musical work/composition'@en	'composer'@en	'twin'@en
Q1352567	P86	Q205178	3.0	'missa brevis'@en	'composer'@en	'child prodigy'@en
Q17489659	P86	Q205178	3.0	'group of works'@en	'composer'@en	'child prodigy'@en
Q17537576	P86	Q205178	3.0	'creative work'@en	'composer'@en	'child prodigy'@en
Q182659	P86	Q5	3.0	'ballad'@en	'composer'@en	'human'@en
Q18460285	P86	Q5	3.0	'musical setting'@en	'composer'@en	'human'@en
Q2302678	P86	Q5	3.0	'clarinet concerto'@en	'composer'@en	'human'@en
Q2910675	P86	Q5	3.0	'unfinished creative work'@en	'composer'@en	'human'@en
Q482994	P86	Q5	3.0	'album'@en	'composer'@en	'human'@en
Q484692	P86	Q5	3.0	'hymn'@en	'composer'@en	'human'@en
Q5185279	P86	Q5	3.0	'poem'@en	'composer'@en	'human'@en
Q64027488	P86	Q5	3.0	'arrangement on a work of the public domain'@en	'composer'@en	'human'@en
Q788460	P86	Q5	3.0	'Bagatelle'@en	'composer'@en	'human'@en
Q105543609	P86	Q5741069	2.0	'musical work/composition'@en	'composer'@en	'rock group'@en
Q209741	P86	Q5	2.0	'programme music'@en	'composer'@en	'human'@en
Q245596	P86	Q5	2.0	'cycle'@en	'composer'@en	'human'@en
Q2910675	P86	Q205178	2.0	'unfinished creative work'@en	'composer'@en	'child prodigy'@en
Q3331189	P86	Q5	2.0	'version, edition, or translation'@en	'composer'@en	'human'@en
Q3815189	P86	Q5	2.0	'musical hoax'@en	'composer'@en	'human'@en
Q64027488	P86	Q59755569	2.0	'arrangement on a work of the public domain'@en	'composer'@en	'special purpose artist'@en
Q929848	P86	Q5	2.0	'movement'@en	'composer'@en	'human'@en
Q1053427	P86	Q5	1.0	'scordatura'@en	'composer'@en	'human'@en
Q105543609	P86	Q107356781	1.0	'musical work/composition'@en	'composer'@en	'song type'@en
Q105543609	P86	Q14073567	1.0	'musical work/composition'@en	'composer'@en	'sibling duo'@en
Q105543609	P86	Q2995644	1.0	'musical work/composition'@en	'composer'@en	'result'@en
Q105543609	P86	Q3152824	1.0	'musical work/composition'@en	'composer'@en	'cultural institution'@en
Q105543609	P86	Q50424085	1.0	'musical work/composition'@en	'composer'@en	'copyright status'@en
Q105543609	P86	Q7247847	1.0	'musical work/composition'@en	'composer'@en	'production team'@en
Q1063010	P86	Q5	1.0	'character piece'@en	'composer'@en	'human'@en
Q107357104	P86	Q5	1.0	'type of dance'@en	'composer'@en	'human'@en
Q11311300	P86	Q5	1.0		'composer'@en	'human'@en
Q134556	P86	Q1062083	1.0	'single'@en	'composer'@en	'billionaire'@en
Q1385610	P86	Q5	1.0	'excerpt'@en	'composer'@en	'human'@en
Q15079132	P86	Q5	1.0	'Christian prayer'@en	'composer'@en	'human'@en
Q178985	P86	Q5	1.0	'ode'@en	'composer'@en	'human'@en
Q182659	P86	Q59755569	1.0	'ballad'@en	'composer'@en	'special purpose artist'@en
Q187947	P86	Q5	1.0	'sheet music'@en	'composer'@en	'human'@en
Q193605	P86	Q5	1.0	'lullaby'@en	'composer'@en	'human'@en
Q19545459	P86	Q5	1.0	'missa solemnis'@en	'composer'@en	'human'@en
Q20202269	P86	Q5	1.0	'musical term'@en	'composer'@en	'human'@en
Q20437094	P86	Q5	1.0	'installation artwork'@en	'composer'@en	'human'@en
Q207628	P86	Q5	1.0	'musical composition'@en	'composer'@en	'human'@en
Q221290	P86	Q5	1.0	'monodrama'@en	'composer'@en	'human'@en
Q22808060	P86	Q5	1.0	'state song of a state of the United States'@en	'composer'@en	'human'@en
Q230052	P86	Q5	1.0	'tongue-twister'@en	'composer'@en	'human'@en
Q2302678	P86	Q205178	1.0	'clarinet concerto'@en	'composer'@en	'child prodigy'@en
Q24992028	P86	Q5	1.0	'musical series'@en	'composer'@en	'human'@en
Q2617970	P86	Q5	1.0	'pentalogy'@en	'composer'@en	'human'@en
Q3408995	P86	Q5	1.0	'prelude and fugue'@en	'composer'@en	'human'@en
Q34508	P86	Q10648343	1.0	'video recording'@en	'composer'@en	'duo'@en
Q482994	P86	Q5741069	1.0	'album'@en	'composer'@en	'rock group'@en
Q482994	P86	Q9212979	1.0	'album'@en	'composer'@en	'musical duo'@en
Q503354	P86	Q5	1.0	'Christmas carol'@en	'composer'@en	'human'@en
Q5126979	P86	Q205178	1.0	'clarinet-viola-piano trio'@en	'composer'@en	'child prodigy'@en
Q5126979	P86	Q5	1.0	'clarinet-viola-piano trio'@en	'composer'@en	'human'@en
Q5156725	P86	Q5	1.0	'Composer tributes'@en	'composer'@en	'human'@en
Q541947	P86	Q5	1.0	'anthem'@en	'composer'@en	'human'@en
Q55850593	P86	Q5	1.0	'music track with vocals'@en	'composer'@en	'human'@en
Q623823	P86	Q5	1.0	'arabesque'@en	'composer'@en	'human'@en
Q64027488	P86	Q50424085	1.0	'arrangement on a work of the public domain'@en	'composer'@en	'copyright status'@en
Q6942465	P86	Q5	1.0	'music written in all 24 major and minor keys'@en	'composer'@en	'human'@en
Q717040	P86	Q5	1.0	'Christmas tradition'@en	'composer'@en	'human'@en
