domain	property	range	count	domain;label	property;label	range;label
Q207694	P101	Q11862829	7	'art museum'@en	'field of work'@en	'academic discipline'@en
Q207694	P101	Q1792379	6	'art museum'@en	'field of work'@en	'art genre'@en
Q207694	P101	Q64222339	6	'art museum'@en	'field of work'@en	'art term'@en
Q207694	P101	Q968159	4	'art museum'@en	'field of work'@en	'art movement'@en
Q16020664	P101	Q11862829	1	'canadian artist-run centre'@en	'field of work'@en	'academic discipline'@en
Q16020664	P101	Q1792379	1	'canadian artist-run centre'@en	'field of work'@en	'art genre'@en
Q16020664	P101	Q64222339	1	'canadian artist-run centre'@en	'field of work'@en	'art term'@en
Q207694	P101	Q1620908	1	'art museum'@en	'field of work'@en	'historical region'@en
Q207694	P101	Q3326867	1	'art museum'@en	'field of work'@en	'painting movement'@en
Q207694	P101	Q483394	1	'art museum'@en	'field of work'@en	'genre'@en
Q207694	P101	Q56055944	1	'art museum'@en	'field of work'@en	'arts form'@en
Q33506	P101	Q11862829	1	'museum'@en	'field of work'@en	'academic discipline'@en
Q33506	P101	Q1792379	1	'museum'@en	'field of work'@en	'art genre'@en
Q33506	P101	Q64222339	1	'museum'@en	'field of work'@en	'art term'@en
Q33506	P101	Q968159	1	'museum'@en	'field of work'@en	'art movement'@en
Q207694	P1037	Q5	23	'art museum'@en	'director / manager'@en	'human'@en
Q207694	P1037	Q1062083	2	'art museum'@en	'director / manager'@en	'billionaire'@en
Q1007870	P1037	Q1062083	1	'art gallery'@en	'director / manager'@en	'billionaire'@en
Q1007870	P1037	Q5	1	'art gallery'@en	'director / manager'@en	'human'@en
Q10624527	P1037	Q5	1	'biographical museum'@en	'director / manager'@en	'human'@en
Q108860593	P1037	Q5	1	'museum of modern art'@en	'director / manager'@en	'human'@en
Q1497649	P1037	Q5	1	'memory institution'@en	'director / manager'@en	'human'@en
Q163740	P1037	Q5	1	'nonprofit organization'@en	'director / manager'@en	'human'@en
Q1759852	P1037	Q5	1	'sculpture garden'@en	'director / manager'@en	'human'@en
Q2085381	P1037	Q5	1	'publisher'@en	'director / manager'@en	'human'@en
Q24699794	P1037	Q5	1	'museum building'@en	'director / manager'@en	'human'@en
Q26944969	P1037	Q5	1	'photography museum'@en	'director / manager'@en	'human'@en
Q207694	P112	Q5	18	'art museum'@en	'founded by'@en	'human'@en
Q10624527	P112	Q5	1	'biographical museum'@en	'founded by'@en	'human'@en
Q108860593	P112	Q5	1	'museum of modern art'@en	'founded by'@en	'human'@en
Q11341528	P112	Q5	1	'comics museum'@en	'founded by'@en	'human'@en
Q1202402	P112	Q5	1	'townhouse'@en	'founded by'@en	'human'@en
Q1343246	P112	Q5	1	'English country house'@en	'founded by'@en	'human'@en
Q17431399	P112	Q20076236	1	'national museum'@en	'founded by'@en	'political system'@en
Q17431399	P112	Q43229	1	'national museum'@en	'founded by'@en	'organization'@en
Q1802963	P112	Q5	1	'mansion'@en	'founded by'@en	'human'@en
Q207694	P112	Q177626	1	'art museum'@en	'founded by'@en	'human migration'@en
Q207694	P112	Q20076236	1	'art museum'@en	'founded by'@en	'political system'@en
Q207694	P112	Q41710	1	'art museum'@en	'founded by'@en	'ethnic group'@en
Q207694	P112	Q43229	1	'art museum'@en	'founded by'@en	'organization'@en
Q207694	P112	Q4830453	1	'art museum'@en	'founded by'@en	'business'@en
Q2087181	P112	Q5	1	'historic house museum'@en	'founded by'@en	'human'@en
Q33506	P112	Q5	1	'museum'@en	'founded by'@en	'human'@en
Q570116	P112	Q5	1	'tourist attraction'@en	'founded by'@en	'human'@en
Q61781831	P112	Q5	1	'curatorial department'@en	'founded by'@en	'human'@en
Q108860593	P1268	Q5	1	'museum of modern art'@en	'represents'@en	'human'@en
Q207694	P1268	Q5	1	'art museum'@en	'represents'@en	'human'@en
Q207694	P1269	Q5	1	'art museum'@en	'facet of'@en	'human'@en
Q207694	P127	Q207694	2	'art museum'@en	'owned by'@en	'art museum'@en
Q1343246	P127	Q207694	1	'English country house'@en	'owned by'@en	'art museum'@en
Q17431399	P127	Q19973770	1	'national museum'@en	'owned by'@en	'ministry of culture'@en
Q207694	P127	Q1006283	1	'art museum'@en	'owned by'@en	'national trust'@en
Q207694	P127	Q163740	1	'art museum'@en	'owned by'@en	'nonprofit organization'@en
Q207694	P127	Q1802419	1	'art museum'@en	'owned by'@en	'state government'@en
Q207694	P127	Q192299	1	'art museum'@en	'owned by'@en	'county of Norway'@en
Q207694	P127	Q19973770	1	'art museum'@en	'owned by'@en	'ministry of culture'@en
Q207694	P127	Q219577	1	'art museum'@en	'owned by'@en	'holding company'@en
Q207694	P127	Q2668072	1	'art museum'@en	'owned by'@en	'collection'@en
Q207694	P127	Q270791	1	'art museum'@en	'owned by'@en	'state-owned enterprise'@en
Q207694	P127	Q45242174	1	'art museum'@en	'owned by'@en	'gazetted locality of Victoria'@en
Q207694	P127	Q515	1	'art museum'@en	'owned by'@en	'city'@en
Q207694	P127	Q755707	1	'art museum'@en	'owned by'@en	'municipality of Norway'@en
Q2190251	P127	Q45242174	1	'arts centre'@en	'owned by'@en	'gazetted locality of Victoria'@en
