domain	property	range	count	domain;label	property;label	range;label
Q169930	P646	external-id	3572.0	'extended play'@en	'Freebase ID'@en	
Q482994	P646	external-id	64.0	'album'@en	'Freebase ID'@en	
Q134556	P646	external-id	27.0	'single'@en	'Freebase ID'@en	
Q10590726	P646	external-id	4.0	'video album'@en	'Freebase ID'@en	
Q2073093	P646	external-id	4.0	'mini-LP'@en	'Freebase ID'@en	
Q368281	P646	external-id	4.0	'split album'@en	'Freebase ID'@en	
Q11424	P646	external-id	2.0	'film'@en	'Freebase ID'@en	
Q105543609	P646	external-id	1.0	'musical work/composition'@en	'Freebase ID'@en	
Q12321	P646	external-id	1.0	'palindrome'@en	'Freebase ID'@en	
Q170584	P646	external-id	1.0	'project'@en	'Freebase ID'@en	
Q20671381	P646	external-id	1.0	'album series'@en	'Freebase ID'@en	
Q2707384	P646	external-id	1.0	'side project'@en	'Freebase ID'@en	
Q5741069	P646	external-id	1.0	'rock group'@en	'Freebase ID'@en	
Q59557805	P646	external-id	1.0	'unreleased album'@en	'Freebase ID'@en	
Q60713210	P646	external-id	1.0	'split extended play'@en	'Freebase ID'@en	
Q7366	P646	external-id	1.0	'song'@en	'Freebase ID'@en	
Q169930	P577	time	3770.0	'extended play'@en	'publication date'@en	
Q482994	P577	time	66.0	'album'@en	'publication date'@en	
Q134556	P577	time	29.0	'single'@en	'publication date'@en	
Q10590726	P577	time	4.0	'video album'@en	'publication date'@en	
Q2073093	P577	time	4.0	'mini-LP'@en	'publication date'@en	
Q368281	P577	time	4.0	'split album'@en	'publication date'@en	
Q11424	P577	time	2.0	'film'@en	'publication date'@en	
Q105543609	P577	time	1.0	'musical work/composition'@en	'publication date'@en	
Q12321	P577	time	1.0	'palindrome'@en	'publication date'@en	
Q170584	P577	time	1.0	'project'@en	'publication date'@en	
Q20671381	P577	time	1.0	'album series'@en	'publication date'@en	
Q2707384	P577	time	1.0	'side project'@en	'publication date'@en	
Q5741069	P577	time	1.0	'rock group'@en	'publication date'@en	
Q59557805	P577	time	1.0	'unreleased album'@en	'publication date'@en	
Q60713210	P577	time	1.0	'split extended play'@en	'publication date'@en	
Q7366	P577	time	1.0	'song'@en	'publication date'@en	
Q169930	P436	external-id	2661.0	'extended play'@en	'MusicBrainz release group ID'@en	
Q482994	P436	external-id	50.0	'album'@en	'MusicBrainz release group ID'@en	
Q134556	P436	external-id	21.0	'single'@en	'MusicBrainz release group ID'@en	
Q2073093	P436	external-id	4.0	'mini-LP'@en	'MusicBrainz release group ID'@en	
Q368281	P436	external-id	4.0	'split album'@en	'MusicBrainz release group ID'@en	
Q10590726	P436	external-id	2.0	'video album'@en	'MusicBrainz release group ID'@en	
Q11424	P436	external-id	1.0	'film'@en	'MusicBrainz release group ID'@en	
Q12321	P436	external-id	1.0	'palindrome'@en	'MusicBrainz release group ID'@en	
Q170584	P436	external-id	1.0	'project'@en	'MusicBrainz release group ID'@en	
Q20671381	P436	external-id	1.0	'album series'@en	'MusicBrainz release group ID'@en	
Q5741069	P436	external-id	1.0	'rock group'@en	'MusicBrainz release group ID'@en	
Q60713210	P436	external-id	1.0	'split extended play'@en	'MusicBrainz release group ID'@en	
Q7366	P436	external-id	1.0	'song'@en	'MusicBrainz release group ID'@en	
Q169930	P407	Q1288568	641.0	'extended play'@en	'language of work or name'@en	'modern language'@en
Q169930	P407	Q34770	641.0	'extended play'@en	'language of work or name'@en	'language'@en
Q169930	P407	Q33742	498.0	'extended play'@en	'language of work or name'@en	'natural language'@en
Q482994	P407	Q1288568	26.0	'album'@en	'language of work or name'@en	'modern language'@en
Q482994	P407	Q34770	26.0	'album'@en	'language of work or name'@en	'language'@en
